__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN44246086	SRR30946901	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T20:03:00.000Z	2024			Fungal infection	2024CE_09_19_873		USA	North America		clinical	Homo sapiens	3	human
SAMN44524288	SRR31185184	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-31T17:21:00.000Z	2023-04				MD-MDH-CAU-2400019		USA	North America	Mid-Atlantic	tracheal aspirate	Homo sapiens	3	human
SAMN50274239	SRR34768539	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-07-29T20:36:00.000Z	2025			Fungal infection	2025CE-CAURIS_07_29_012		USA	North America		clinical	Homo sapiens	3	human
SAMN47415275	SRR32735456	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-03-17T11:02:00.000Z	2025						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44625218	SRR31272054	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-11-07T14:48:00.000Z	2024-10						USA	North America	Midwest	wound	Homo sapiens	3	human
SAMN49444678	SRR34036529	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:53:00.000Z	2023				NV-WW-CAU-0324C34W		USA	North America	NV	environmental (wastewater)			
SAMN44998094	SRR31456532	CAPILLARY	AB 3730 Genetic Analyzer	PRJNA1189548	Candidozyma auris	AMPLICON	SINGLE	2024-11-22T14:49:00.000Z	2017						USA	North America	Bronx	PCR product	Homo sapiens	3	human
SAMN44476146	SRR31141370	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-10-28T16:26:00.000Z	2024-08						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48265043	SRR33388600	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:46:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_017		USA	North America		clinical	Homo sapiens	3	human
SAMN47201854	SRR32557681	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2025-03-03T14:03:00.000Z	2025-02						USA	North America	Midwest	As reported: fungal isolate, other	Homo sapiens	3	human
SAMN48984721	SRR33913280	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-06-10T14:07:00.000Z	2025				UT-UPHL-CAU-3307		USA	North America	Mountain		Homo sapiens	3	human
SAMN48288208	SRR33405812	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:08:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_230		USA	North America		clinical	Homo sapiens	3	human
SAMN48209744	SRR33381040	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T23:48:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_172		USA	North America		clinical	Homo sapiens	3	human
SAMN41475842	SRR29098619	ILLUMINA	Illumina MiSeq	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-05-21T14:11:00.000Z	2024-03						USA	North America	Midwest	foot	Homo sapiens	3	human
SAMN41744761	SRR29319204	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-06-07T12:23:00.000Z	2023-03						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN44513393	SRR31174766	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-10-30T17:08:00.000Z	2023-03				MD-MDH-CAU-2300375		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN45036415	SRR31488789	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-11-25T12:34:00.000Z	2024				UT-UPHL-CAU-2550		USA	North America	Mountain		Homo sapiens	3	human
SAMN49881673	SRR34446433	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-07-09T13:34:00.000Z	2025						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN46363224	SRR32076930	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T10:45:00.000Z	2023-10				MD-MDH-CAU-2400260		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
